Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,N_LEVELS
A3_subband_L7,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.4282621741294861,0.9741071462631226,0.9738005281404147,0.6043664813041687,0.9118750095367432,0.9107334432983234,311.1832957267761,10.364585161209106,432.2411298010286,267864,multilevel_details,7
A3_subband_L7,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.48813319206237793,0.9428571462631226,0.9415821875906392,0.6357068419456482,0.8981249928474426,0.8959653941263503,338.85956859588623,11.28537323474884,396.9740217546029,267864,multilevel_details,7
A3_subband_L7,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.4557277262210846,0.9598214030265808,0.9592204917021931,0.596892237663269,0.9168750047683716,0.9152167256120067,409.16095447540283,13.628161954879761,328.7310508073226,267864,multilevel_details,7
A3_subband_L7,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.46769240498542786,0.9526785612106323,0.9518675309526903,0.6060523390769958,0.9162499904632568,0.914882362125772,399.8125066757202,13.31388955116272,336.49069888887243,267864,multilevel_details,7
A3_subband_L7,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.44170841574668884,0.9651785492897034,0.9642478271423414,0.6106290817260742,0.9118750095367432,0.9097250120906952,380.9873411655426,12.691831715901692,352.9829342432089,267864,multilevel_details,7
A3_subband_L7,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",42,42,0.595093846321106,0.8892857432365417,0.8810602102614673,0.748349666595459,0.8324999809265137,0.8250932176548789,317.8465037345886,10.587333663304646,423.1471437919761,267864,multilevel_details,7
A3_subband_L7,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",43,43,0.4817829728126526,0.9464285969734192,0.9456326368447263,0.6697453260421753,0.8893749713897705,0.8867141677094209,276.69829630851746,9.21674546400706,486.07179372536143,267864,multilevel_details,7
A3_subband_L7,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",44,44,0.4451838731765747,0.9669643044471741,0.9666942303676392,0.5997215509414673,0.9125000238418579,0.9106675618381431,275.67855286598206,9.1825323899587,487.8828420903778,267864,multilevel_details,7
A3_subband_L7,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",45,45,0.46209973096847534,0.9526785612106323,0.9520842135502399,0.6397233605384827,0.8962500095367432,0.893892630292654,278.1443703174591,9.264383474985758,483.5723836449772,267864,multilevel_details,7
A3_subband_L7,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",46,46,0.46967610716819763,0.9428571462631226,0.9404842086851083,0.6354062557220459,0.8974999785423279,0.895613718708553,306.7968657016754,10.219326678911845,438.3850463695159,267864,multilevel_details,7
